Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
UNI EIBAR- ERMUA,Otaola 29,EIBAR,20600,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SAN FRANTZISKO XABIER IKASTOLA,Otalora Lizentziaduna 8,ARRASATE/MONDRAGON,20500,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
GAZTELUPE-ARIMAZUBI IKASTOLA,ARRASATE IBILTOKIA, 10-18,ARRASATE/MONDRAGON,20500,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
POLITECNICO EASO POLITEKNIKOA,Aitzol 2,DONOSTIA/SAN SEBASTIÁN,20011,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
J.M. BARANDIARAN LIZEOA,Manuel Lardizabal 26,DONOSTIA/SAN SEBASTIÁN,20018,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Alto Conquero,Manuel Siurot, 36,HUELVA,21002,HUELVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Vázquez Díaz,Cerro los Baños, s/n,NERVA,21670,HUELVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Al-Ándalus,Díaz del Castillo, s/n,HUELVA,21005,HUELVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Escuela y Deporte Huelva,Manuel Siurot, 46,HUELVA,21005,HUELVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro de Formación Deportiva Grupo Japón,Santiago Apostol, 37, Local,HUELVA,21002,HUELVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Las Fuentezuelas,de Arjona, 5,JAEN,23006,JAÉN,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Los Cerros,Cronista Juan de la Torre, s/n,UBEDA,23400,JAÉN,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Guadiel,Úbeda, s/n,LINARES,23000,JAÉN,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Fundación Albor Linares,Daoiz, 18,LINARES,23700,JAÉN,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ORDOÑO II,AVENIDA SAN JUAN DE SAHAGUN, S/N,LEON,24007,LEÓN,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA INMACULADA,CALLE CARMEN SALLÉS,  Nº 8.,CAMPONARAYA,24410,LEÓN,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA LABORAL,AV. LA RIOJA, 6,LARDERO,26140,LA RIOJA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Nosa Sra. dos Ollos Grandes,AV/Ramón Ferreiro s/n,LUGO,27002,LUGO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Monte Castelo,RU/OS MATOS s/n,BURELA,27880,LUGO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE FORMACION, TERRA,POL.IND.DO CEAO,RUA DA TERRA-C.DEPORTIVO,LUGO,27003,LUGO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ANTONIO MACHADO,CALLE Alalpardo s/n,ALCALA DE HENARES,28806,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LOYOLA,CALLE de Valeras 24,ARANJUEZ,28300,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
GSD  BUITRAGO,AVDA de Madrid 18,BUITRAGO DEL LOZOYA,28730,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA INMACULADA-PADRES ESCOLAPIOS,PLAZA Obispo Felipe Scio Riaza 1,GETAFE,28901,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LUIS VIVES,PASEO de la Ermita 15,LEGANES,28918,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LOPEZ VICUÑA,CALLE de Hinojal 7,MADRID,28037,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ALAMEDA DE OSUNA,PASEO de la Alameda de Osuna 17,MADRID,28042,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA SALLE-SAGRADO CORAZON,AVDA del Cardenal Herrera Oria 242,MADRID,28035,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTA GEMA GALGANI,CALLE de Escalona 59,MADRID,28024,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTA MARIA DEL VALLE CEP,CALLE de Vitruvio 14,MADRID,28006,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
TAJAMAR,CALLE de Pío Felipe 12,MADRID,28038,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SAN MIGUEL ARCANGEL,CALLE de Repullés y Vargas 11,MADRID,28011,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SAN GABRIEL,CALLE de Eugenia de Montijo 92,MADRID,28025,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTO DOMINGO SAVIO,CALLE de Santo Domingo Savio 2,MADRID,28017,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ORTEGA Y GASSET,CALLE SANTA FE 4,MADRID,28008,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTA BARBARA,PLAZA de la Paja 4,MADRID,28005,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
VIRGEN DE LA PALOMA,CALLE de Francos Rodríguez 106,MADRID,28039,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
PIO BAROJA,CALLE de Tolosa 2,MADRID,28041,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
GUZMAN EL BUENO,CALLE de Eugenio Salazar 15,MADRID,28002,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTITUCION PROFESIONAL SALESIANA,RONDA de Don Bosco 3,MADRID,28044,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CIUDAD ESCOLAR,CTRA de Colmenar Viejo k12,8,MADRID,28049,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LICEO VILLA FONTANA,AVDA de Carlos V 27,MOSTOLES,28936,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
FELIPE TRIGO,CALLE del Pintor Velázquez 66,MOSTOLES,28935,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
EL PILAR,CALLE Real 21,SOTO DEL REAL,28791,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SAN IGNACIO DE LOYOLA,PASEO de Andrés Vergara 5,TORRELODONES,28250,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LOS CASTILLOS,AVDA de los Castillos 5,ALCORCON,28925,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
JOYFE,CALLE de Vital Aza 65,MADRID,28017,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AMANECER,AVDA de Pablo Iglesias s/n,ALCORCON,28922,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MARIA MOLINER,AVDA de España 115,COSLADA,28822,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MIRABAL INTERNATIONAL SCHOOL,CALLE del Monte Almenara s/n,BOADILLA DEL MONTE,28660,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ROSA CHACEL,CALLE de Abizanda 70,MADRID,28033,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
VIRGEN DE LA PAZ,CALLE de Francisco Chico Mendes 4,ALCOBENDAS,28108,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
N.I.L.E.,CALLE de Castilla la Vieja 18,FUENLABRADA,28941,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LAGUNA DE JOATZEL,AVDA Vascongadas s/n,GETAFE,28903,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CARLOS BOUSOÑO,CALLE Pinos 10,MAJADAHONDA,28221,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AQUINAS INTERNATIONAL SCHOOL,CALLE Transversal 4     4,POZUELO DE ALARCON,28223,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ZOLA-ROZAS,AVDA Esparta 6,ROZAS DE MADRID (LAS),28232,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INTERNACIONAL NUEVO CENTRO,CTRA toledo a villaverde k0.5,MADRID,28041,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LAS CANTERAS,CALLE Peñalara 2,COLLADO VILLALBA,28400,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
PINTOR ANTONIO LOPEZ,CALLE del Orégano 1,TRES CANTOS,28760,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ARETEIA,CALLE de la Salvia 24,ALCOBENDAS,28109,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LOS SAUCES,AVDA Gabriel Enríquez de la Orden 27,TORRELODONES,28250,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ARCADIA,CALLE Cetrería 2,VILLANUEVA DE LA CAÑADA,28690,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
EL OLIVO,CALLE Felipe II 11,PARLA,28982,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
DUQUE DE RIVAS,PASEO de la Chopera 64,RIVAS-VACIAMADRID,28523,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SAGRADA FAMILIA,CALLE de Oberón 6,MADRID,28030,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CES, ESCUELA SUPERIOR DE IMAGEN Y SONIDO,CALLE de Mar Adriático 11,MADRID,28033,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO EUROPEO ARISTOS ,AVDA de Juan Carlos I 12,GETAFE,28905,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
EL VALLE,CALLE de Cordel de Pavones 2,MADRID,28032,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE ESTUDIOS TECNOLOGICOS Y SOCIALES FRANCISCO DE VITORIA,CTRA Pozuelo Majadahonda K1,8,POZUELO DE ALARCON,28223,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MIRASUR,CALLE Pablo Gargallo s/n,PINTO,28320,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO VALLMONT,CALLE Mallorca 2,VILLANUEVA DEL PARDILLO,28229,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO INTERNACIONAL J.H. NEWMAN,AVDA de Guadalajara 28-32,MADRID,28032,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MALVAR,CALLE de la Solidaridad 4,ARGANDA,28500,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
EL VALLE II,CALLE de Ana de Austria 60,MADRID,28050,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO CAUDE,CALLE Barco 2,MAJADAHONDA,28222,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
GSD  LAS SUERTES,CALLE de Rafael de León 10,MADRID,28051,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO ARULA,CALLE de Alcalá (Alalpardo) 23,ALALPARDO,28130,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO VALLE DEL MIRO,CALLE de Clara Campoamor 2,VALDEMORO,28342,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO LITTERATOR,CALLE del Patrimonio Mundial 5,MONTAÑA (LA),28300,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
GSD GUADARRAMA,CALLE Vereda de Colmenar 4,GUADARRAMA,28440,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO NOVA HISPALIS,AVDA Dos de Mayo 4,SEVILLA LA NUEVA,28609,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO ESTUDIANTES LAS TABLAS,CALLE de Fromista 1,MADRID,28050,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO AQUILA,CALLE Planeta Urano s/n,PARLA,28983,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO PROFESIONAL EUROPEO DE MADRID - ESTUDIOS PROFESIONALES SUPERIORES,CALLE Tajo S/N,VILLAVICIOSA DE ODON,28670,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
FP MADRID VILLAVERDE,CALLE Transversal Sexta 17,MADRID,28021,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE ESTUDIOS SUPERIORES JUAN PABLO II,CALLE de Estocolmo 1bis,ALCORCON,28922,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ESCUELA PROFESIONAL DON BOSCO,CALLE de María Auxiliadora 9,MADRID,28040,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CESUR-MADRID II,CALLE de Albarracín 27,MADRID,28037,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO EDUCATIVO JUMP UP TORREJON,PLAZA Pablo de Olavide 1,TORREJON DE ARDOZ,28850,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
QUALITAS EUROPA,CALLE de Monterrey 1,ROZAS DE MADRID (LAS),28231,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE F.P. ALFONSO X EL SABIO,AVDA Universidad 1,VILLANUEVA DE LA CAÑADA,28691,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTEDE FP,PLAZA de Fernández Ladreda 2,MADRID,28026,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTITUTO FORMATIVO DE ACTIVIDADES DEPORTIVAS (IFADEP),AVDA de Juan Pablo II S/N,PARACUELLOS DE JARAMA,28860,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE ESTUDIOS PROFESIONALES CVE,CALLE del Valle de Santa Ana 1,BOADILLA DEL MONTE,28660,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE ESTUDIOS PROFESIONALES DE LA UNIVERSIDAD CAMILO JOSE CELA.CENTRO VILLAFRANCA DEL CASTILLO,CALLE Castillo de Alarcón 49,VILLANUEVA DE LA CAÑADA,28692,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTEDE POZUELO F.P.,CMNO Alcorcón 17,POZUELO DE ALARCON,28223,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ACADEF FORMACIÓN PROFESIONAL DEPORTIVA,CALLE María Zambrano s/n,VALDEMORO,28341,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ACADEF  FORMACIÓN PROFESIONAL DEPORTIVA,AVDA de la Condesa de Chinchón 21,BOADILLA DEL MONTE,28660,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRO DE FORMACION DINAMICA,CALLE de Babilonia 19,MADRID,28042,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
FP MADRID BOADILLA,CALLE Luigi Bocherini 3,BOADILLA DEL MONTE,28000,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
FP MADRID ALUCHE,AVDA POBLADOS s/n,MADRID,28047,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Cesur-PTA,Severo Ochoa, 29,CAMPANILLAS,29590,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Los Olivos,Julio Verne, 8,MALAGA,29191,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Europa,Lope de Rueda, 181. Puerto de la Torre,MALAGA,29190,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
La Rosaleda,Luis Buñuel, 8,MALAGA,29011,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Arroyo de la Miel,Inmaculada Concepción, s/n,ARROYO DE LA MIEL-BENALMADENA COSTA,29631,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MEDAC,Malasaña, 4 y 6,MALAGA,29009,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ALUA,de Córdoba, s/n,ANTEQUERA,29200,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Sierra de Mijas,Río las Pasadas, 1,MIJAS,29649,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Fernando de los Ríos,Ntra. Sra. de las Candelas, 15,MALAGA,29004,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
El Pinar,de la Acequia, s/n,ALHAURIN DE LA TORRE,29130,MÁLAGA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SAMANIEGO,C/ PAGO DE LAS VIÑAS, TROPEL, 18,ALCANTARILLA,30820,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
NARVAL,AVDA.GENOVA,S/N - URB.SANTA ANA,CARTAGENA,30319,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
PARRA,C/ CEUTA, 1 - POLIGONO LA FAMA,MURCIA,30006,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SEVERO OCHOA,CAMINO DE TIÑOSA, 50.,GARRES (LOS),30158,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MIGUEL HERNÁNDEZ,C/MIGUEL HERNÁNDEZ, 28,ALHAMA DE MURCIA,30840,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
JUAN CARLOS I,C/REINA DOÑA SOFIA,S/N,MURCIA,30007,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MEDITERRÁNEO,C/ CORAL, 44 - URB. MEDITERRÁNEO,CARTAGENA,30310,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO SAN JORGE,C/ PICOS DE EUROPA, URB. LA ALCAYNA,MOLINA DE SEGURA,30500,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MAR MENOR,C/ CABO ROCHE, Nº9,SANTIAGO DE LA RIBERA,30720,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LAS CLARAS DEL MAR MENOR,C/ PENÉLOPE, S/Nº - URB. OASIS.,ALCAZARES (LOS),30710,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LOS OLIVOS,CTRA.MOLINA-FORTUNA, KM 7.URB.LOS OLIVOS,MOLINA DE SEGURA,30500,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MAJAL BLANCO,CAMINO DE LA VENTA, 95,SANTOMERA,30140,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
PASICO II,PLAZA SOLEDAD PUÉRTOLAS,TORRE-PACHECO,30700,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTITUTO SUPERIOR DE FORMACIÓN PROFESIONAL SAN AN TONIO,CAMPUS DE LOS JERÓNIMOS S/N GUADALUPE,GUADALUPE DE MACIASCOQUE,30107,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTITUTO SUPERIOR DE FORMACIÓN PROFESIONAL SANITA RIA CLAUDIO GALENO,C/. ANA MARÍA MATUTE Nº 1 (GUADALUPE),MURCIA,30107,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTITUTO SUPERIOR DE FORMACIÓN PROFESIONAL SAN AN TONIO DE CARTAGENA,C/ PORTO ALEGRE S/N,CARTAGENA,30203,MURCIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
A Farixa,RU/Finca Farixa, s/n (Mariñamansa),OURENSE,32005,OURENSE,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
"Col. ""San Fernando""",Avda. San Agustín, s/n,AVILES,33400,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
"I.E.S. ""Alfonso II""",Santa Susana, s/n,OVIEDO,33007,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
"I.E.S. ""Corvera de Asturias""",Carretera General Los Campos, s/n,CAMPOS (LOS),33404,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro Integrado de F.P. de los Sectores Industrial y de Servicios,Luis Moya, Nº 335,CIMADEVILLA,33203,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
"C.F.P.E. ""Ovida Formación""",Lena 5,OVIEDO,33006,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
"C.F.P.E. ""Svida Gijón""",Bajos del Estadio del Molinón, 5,GIJON,33201,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro Integrado de Formación Profesional del Deporte,Leopoldo Alas, 1,AVILES,33402,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
"C.F.P.E ""Afa Formación",General Elorza, 68 - Bajo,OVIEDO,33001,ASTURIAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
